,Unnamed: 0,unified_text,polarity,subjectivity,polarity_confidence,subjectivity_confidence,id
0,6,#mrt fault again https://t.co/ooix1vnchg,neutral,objective,0.9155489206314087,0.9999540501506892,9.284181604447107e+17
1,9,mrt breakdown on a rainy saturday... #weekend #tgis @ city hall mrt… https://t.co/62tpmuddjf,neutral,subjective,0.7761648297309875,0.9920817542462242,9.166128227794207e+17
2,12,heard nsl signalling fault near tpy to marina south pier. #smrt (@ jurong east mrt interchange (ns1/ew24)) https://t.co/t28dxbu3dp,neutral,objective,0.8488200902938843,0.9999898565225828,9.086841592033729e+17
3,16,thankfully downtown line did not have a train fault just now. @ tan kah kee mrt station https://t.co/foxk6xq6eq,neutral,subjective,0.8176012635231018,0.9869871096055848,8.884104376786493e+17
4,17,power fault. #nowork #teamdiscussion #smw4life @ bishan mrt https://t.co/lonzvihwun,neutral,objective,0.8107606172561646,0.9990293358575625,8.852061561923706e+17
5,20,previous delay now 15mins (@ jurong east mrt interchange (ns1/ew24) - @smrt_singapore in singapore) https://t.co/chx3nckb1g,neutral,objective,0.9347315430641174,1.0,8.805632637502341e+17
6,21,already have announcements of 10mins delay (@ ang mo kio mrt station (ns16) - @smrt_singapore in singapore) https://t.co/tgzckohs2p,neutral,objective,0.9591977000236511,0.9999999999999998,8.805522088816966e+17
7,24,"in singapore, the mrt doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goskzpjk",neutral,objective,0.8663918972015381,1.0,8.740790974749082e+17
8,28,train delay again. oh my god. (@ choa chu kang mrt/lrt interchange (ns4/bp1) - @smrt_singapore in singapore) https://t.co/hjm1av8sbw,neutral,objective,0.9794254899024963,0.9999999999996549,8.69342167831126e+17
9,36,train fault cunt (@ paya lebar mrt interchange (ew8/cc9) - @smrt_singapore in singapore) https://t.co/ekvmnuqvoa,neutral,objective,0.9105410575866699,0.9999999999998059,8.54145193129513e+17
10,48,mrt breakdown no my problem it's time to sleep:sleeping_face::sleeping_face::sleeping_face::sleeping_face::sleeping_face::sleeping_face::sleeping_face::sleeping_face::sleeping_face::sleeping_face::sleeping_face::grimacing_face::grimacing_face::grimacing_face::grimacing_face::sleeping_face: (@ jason tan's residence) https://t.co/dprd1liapk,neutral,subjective,0.7316680550575256,1.0,8.218671865034793e+17
11,56,all aboard on the train to ord :locomotive: well at least this train doesn’t breakdown :woman_shrugging_light_skin_tone::man_shrugging_medium-light_skin_tone: i think?… https://t.co/yfgj3yfhfg,positive,subjective,0.4589987099170685,1.0,9.37237986906968e+17
12,57,late for work today cos of train delay. #whatsnewsmrt (@ chubb insurance singapore limited) https://t.co/arvquxmwye,neutral,objective,0.9302089810371399,0.9999999998837679,9.30600845162492e+17
13,58,today is train fault tag team day?,negative,objective,0.7073113322257996,0.8720832455231036,9.305930471081288e+17
14,59,did the train just announce my first delay on circle line?,negative,subjective,0.5079978108406067,0.9999999999990128,9.305842944681738e+17
15,60,ew line train fault. bummer.,negative,unknown,0.6260337233543396,0.0,9.226258295357562e+17
16,61,train stopped at paya lebar so long already. train fault?,negative,objective,0.7196338176727295,0.9675407198093533,9.226252492748184e+17
17,62,it is just an open house today but already train fault. #dtl3openhouse https://t.co/yzyzy2xzij,neutral,subjective,0.7250472903251648,1.0,9.194214821108941e+17
18,63,taking the new downtown #train service for the very first time. please do not fail me. :grinning_face_with_sweat: #jbgoespublic,negative,subjective,0.5725160837173462,1.0,9.126335433936486e+17
19,65,"halfway thru at outram, everybody must get off the train because they need to fix it then must take shuttle bus what the fuck sot",negative,subjective,0.8509643077850342,1.0,9.467700793072845e+17
20,67,everyone alight at adm because the mrt is not in service... i m soooo gonna be late,negative,objective,0.8381630182266235,0.9250496321969739,9.432669508970578e+17
21,68,please tell me all these “shuttles” for the mrt closure doesnt affect my normal bus interval timing :loudly_crying_face::loudly_crying_face::loudly_crying_face: im so late for my night shifts,negative,subjective,0.9966201782226562,1.0,9.423933670061343e+17
22,69,dtl train fault again today. :pouting_face:,neutral,subjective,0.5604714155197144,0.9270793697356924,9.409049627159347e+17
23,70,@smrt_singapore is there any delay at ewl? train is stopping at  stations longer than usual.,negative,objective,0.6692512631416321,0.9999941480218629,9.407380762964704e+17
24,71,"[operation information]

19:24

according to mytransport, there is a delay of about 10 minutes downtown subway line due to signal failure.

# mrt # delel # dtl # sbst",negative,objective,0.5493510961532593,0.9656988753291978,9.40543746457813e+17
25,72,@chengkelsey @cwingseng current notice on the trains: “this train will stop here for a short while. we are sorry for the delay.” this is telok ayer station. https://t.co/xpys9hlguc,negative,subjective,0.8696047067642212,1.0,9.405350398125425e+17
26,73,"woke up late, forgot the umbrella, forgot to cook rice, train got delayed amongst other things. brilliant really",negative,objective,0.9203908443450928,0.7732782766261982,9.405141089142866e+17
27,75,train fault?  eh i need to get to work please,negative,subjective,0.7443718910217285,1.0,9.389490578248008e+17
28,76,"my god, when you tryna be early but end up late due to a train fault.",negative,subjective,0.9820996522903442,1.0,9.385731015576288e+17
29,79,@_zhrhx i hope ur train got breakdown again :beaming_face_with_smiling_eyes:,positive,objective,0.6554248332977295,0.9831535518298115,9.356679285060444e+17
30,80,train fault...,negative,subjective,0.6574624180793762,0.9438212911676155,9.36e+17
